Year,Term,Department,Course,Section,Enrollment,MedianGrade
0,S,AAAS,11,1,24,A
0,S,AAAS,43,1,62,B+
0,S,AAAS,45,1,61,B+
0,S,AMES,13,1,38,A-/B+
0,S,ANTH,8,1,97,B+
0,S,ANTH,12,1,34,B+
0,S,ANTH,53,1,24,B+/B
0,S,ANTH,56,1,12,A-
0,S,ANTH,57,1,16,A-
0,S,ARTH,3,1,46,B+
0,S,ARTH,7,1,16,B+
0,S,ARTH,7,2,11,B+
0,S,ARTH,10,90,17,B+
0,S,ARTH,11,90,17,B+
0,S,ARTH,12,90,17,A-
0,S,ARTH,17,1,10,A-/B+
0,S,ARTH,42,1,20,B
0,S,ARTH,59,1,51,B
0,S,ARTH,83,1,11,A-
0,S,ASTR,15,1,21,B
0,S,BIOL,2,1,186,B
0,S,BIOL,15,1,112,B-
0,S,BIOL,16,1,109,B-
0,S,BIOL,33,1,49,B+
0,S,BIOL,60,1,34,B+
0,S,BIOL,61,1,23,B+
0,S,BIOL,74,1,34,B+
0,S,BIOL,76,1,20,B+
0,S,BIOL,87,1,17,A
0,S,CHEM,6,1,80,B
0,S,CHEM,6,2,119,B
0,S,CHEM,51,1,44,B+
0,S,CHEM,59,1,10,B+
0,S,CHEM,68,1,10,A-/B+
0,S,CHEM,72,1,12,B+
0,S,CHIN,3,1,13,A
0,S,CHIN,3,2,14,A
0,S,CHIN,3,3,13,A-
0,S,CHIN,33,1,11,A-
0,S,COCO,12,1,34,A-
0,S,COCO,13,1,93,B
0,S,COCO,16,1,58,B
0,S,COGS,2,1,77,A-
0,S,COGS,51,1,27,A-
0,S,COLT,10,1,20,A-
0,S,COLT,22,1,13,B
0,S,COLT,38,1,20,A-
0,S,COLT,54,1,21,A
0,S,COSC,5,1,89,B+
0,S,COSC,14,1,68,A-
0,S,COSC,16,1,29,B
0,S,COSC,21,1,29,B+
0,S,COSC,23,1,57,A-
0,S,COSC,27,1,24,B+
0,S,COSC,33,1,16,A-
0,S,COSC,37,1,27,B
0,S,COSC,78,1,61,B-
0,S,DRAM,7,2,13,B+
0,S,DRAM,23,1,62,B+
0,S,DRAM,30,1,17,A
0,S,DRAM,30,2,16,A/A-
0,S,DRAM,32,1,18,A-
0,S,DRAM,40,1,20,A
0,S,EARS,1,1,91,B
0,S,EARS,3,1,115,B+
0,S,EARS,7,1,13,A
0,S,EARS,26,1,16,A-/B+
0,S,EARS,31,1,10,A
0,S,EARS,44,1,19,A-
0,S,EARS,64,1,13,A-
0,S,ECON,1,1,43,B
0,S,ECON,1,2,42,B
0,S,ECON,1,3,35,B-
0,S,ECON,1,4,40,B
0,S,ECON,10,1,31,B
0,S,ECON,10,2,31,B
0,S,ECON,10,3,34,B+/B
0,S,ECON,20,1,18,B+/B
0,S,ECON,20,2,25,B
0,S,ECON,21,1,24,B+
0,S,ECON,21,2,37,B
0,S,ECON,22,1,33,B
0,S,ECON,22,2,32,B+
0,S,ECON,25,1,11,A-
0,S,ECON,26,1,64,B
0,S,ECON,26,2,64,B
0,S,ECON,27,1,46,B
0,S,ECON,27,2,46,B
0,S,ECON,29,1,24,B+
0,S,ECON,29,2,32,A-/B+
0,S,ECON,35,1,17,B+
0,S,ECON,46,1,18,A
0,S,ECON,46,2,19,A
0,S,ECON,48,1,15,A-
0,S,ECON,49,1,14,A-/B+
0,S,ECON,49,2,16,B+
0,S,ECON,72,1,26,B+
0,S,EDUC,7,1,16,B+
0,S,EDUC,10,1,28,A-
0,S,EDUC,20,1,62,B+
0,S,EDUC,29,1,35,A
0,S,EDUC,41,1,10,B+
0,S,EDUC,55,1,91,B+
0,S,EDUC,85,1,19,A
0,S,EDUC,86,1,10,A-/B+
0,S,EDUC,88,1,20,A/A-
0,S,ENGG,146,1,11,A-
0,S,ENGL,7,1,13,A-
0,S,ENGL,7,2,16,B
0,S,ENGL,7,3,16,B+/B
0,S,ENGL,7,4,15,B
0,S,ENGL,7,5,16,A-
0,S,ENGL,7,6,15,B+
0,S,ENGL,7,7,16,A-/B+
0,S,ENGL,7,8,15,A-
0,S,ENGL,15,1,33,A-
0,S,ENGL,19,1,22,A-
0,S,ENGL,25,1,26,A/A-
0,S,ENGL,31,1,39,B+
0,S,ENGL,45,1,47,A
0,S,ENGL,52,1,228,A-
