"Term","Course","Enrollment","MedianGrade"
"TERM","COURSE","ENRL","MEDIAN"
"10F","AAAS-034-01","28","A-"
"10F","AAAS-039-01","55","A-"
"10F","AAAS-050-01","26","B+"
"10F","AAAS-083-02","15","B+"
"10F","AMEL-017-01","28","A-"
"10F","AMES-014-01","39","A-"
"10F","ANTH-001-01","73","B+"
"10F","ANTH-008-01","48","B"
"10F","ANTH-009-01","40","B+/B"
"10F","ANTH-022-01","40","B+"
"10F","ANTH-037-01","27","B+"
"10F","ANTH-050-03","20","B+"
"10F","ANTH-050-08","17","A-"
"10F","ANTH-050-09","23","B-"
"10F","ANTH-077-01","15","A-"
"10F","ARAB-001-01","19","A"
"10F","ARAB-001-02","20","A"
"10F","ARAB-011-90","12","A"
"10F","ARAB-031-90","12","A-"
"10F","ARAB-032-90","12","A-"
"10F","ARAB-061-01","12","A-"
"10F","ARTH-001-01","33","B+"
"10F","ARTH-007-01","15","B+"
"10F","ARTH-016-01","23","A-"
"10F","ARTH-030-01","15","B+"
"10F","ARTH-052-01","46","B"
"10F","ARTH-053-01","19","B+"
"10F","ASTR-002-01","128","B"
"10F","ASTR-003-01","128","B"
"10F","BIOL-002-01","148","B+"
"10F","BIOL-011-01","166","B"
"10F","BIOL-011-02","64","B"
"10F","BIOL-012-01","44","B"
"10F","BIOL-012-02","45","B"
"10F","BIOL-016-01","23","B"
"10F","BIOL-021-01","13","B+"
"10F","BIOL-025-01","20","B"
"10F","BIOL-034-01","17","B+"
"10F","BIOL-036-01","15","A-"
"10F","BIOL-040-01","63","B"
"10F","BIOL-043-01","25","B+"
"10F","BIOL-046-01","26","B+"
"10F","BIOL-051-01","13","B+"
"10F","BIOL-069-01","23","A-"
"10F","BIOL-120-01","13","B+"
"10F","BIOL-173-01","23","A-"
"10F","CHEM-005-01","87","B"
"10F","CHEM-006-01","34","B+/B"
"10F","CHEM-010-01","29","B+"
"10F","CHEM-051-01","77","B+"
"10F","CHEM-057-01","29","B+"
"10F","CHIN-001-01","23","A"
"10F","CHIN-001-02","19","A"
"10F","CHIN-004-01","16","A-"
"10F","CHIN-004-02","18","A-"
"10F","CHIN-004-03","16","A-"
